timestep,gwn,random_walk
0,0.704988,0.234012
1,-0.574095,0.390914
2,-1.90669,0.253449
3,-0.724123,0.827703
4,0.0150128,0.888156
5,1.0477,0.619199
6,-0.321413,0.391597
7,-0.637997,-0.0971523
8,-0.892504,-0.117548
9,-2.5237,-0.520738
10,-0.430923,-0.20003
11,-0.829085,-0.451987
12,0.751294,-0.412828
13,-0.53042,-0.403765
14,-0.376693,-0.236019
15,-0.924344,-0.213133
16,0.485773,-0.0792911
17,-2.41131,-0.0606763
18,-0.8909,-0.296277
19,-0.860093,-0.208444
20,-2.69694,0.377135
21,1.21767,0.365423
22,-0.076192,0.190079
23,-0.033423,0.0473709
24,-1.84857,-0.0239862
25,0.21121,-0.499895
26,1.28721,-0.992542
27,1.08788,-0.902994
28,0.851909,-0.977999
29,0.533464,-1.08397
30,1.14128,-0.965631
31,0.651079,-1.3638
32,-1.31945,-1.25645
33,0.600215,-1.35636
34,-0.922106,-1.47559
35,1.2904,-1.16335
36,2.38164,-1.36543
37,-0.165851,-1.68195
38,0.692704,-1.31607
39,0.664865,-1.27305
40,-0.84983,-1.17472
41,-1.05822,-0.674087
42,-0.671856,-0.800861
43,-1.00508,-0.272651
44,-0.744515,-0.377478
45,0.728431,0.515846
46,1.23922,0.489629
47,-1.58685,0.476668
48,0.50278,0.756938
49,0.797913,1.32221
50,-0.191209,1.52855
51,-0.672699,2.12017
52,0.216755,2.10373
53,-1.86077,1.79525
54,-0.284736,1.65384
55,0.106115,1.76557
56,-0.179538,2.20754
57,0.538848,1.9385
58,-1.92981,1.97533
59,1.36541,2.55573
60,1.22285,2.44944
61,0.454505,2.77236
62,-0.178939,2.25838
63,0.263204,2.1031
64,1.20291,1.44772
65,3.5021,1.41717
66,1.30759,1.28938
67,-0.52481,1.43773
68,-0.815018,1.76211
69,-0.379487,1.20149
70,-1.49953,1.77699
71,-0.238209,1.49925
72,-1.85536,1.11238
73,-1.87997,1.04705
74,-0.417708,1.19323
75,-0.551888,1.31474
76,-2.19557,1.26711
77,-0.402967,1.19638
78,-1.35538,0.896771
79,-0.405249,0.569163
80,0.297521,0.505177
81,0.201366,0.39104
82,-1.25514,0.664709
83,-0.135693,0.877984
84,-0.0952656,0.420903
85,-0.327313,-0.0898782
86,-1.82111,0.2053
87,0.48002,0.986786
88,-1.4138,2.0486
89,-0.346417,2.16463
90,-1.90838,2.19517
91,-1.27613,2.36883
92,-0.467623,2.39333
93,0.425115,2.61894
94,0.531618,2.34385
95,1.41039,2.62895
96,-2.71189,2.7457
97,0.591533,2.98503
98,-0.294866,2.94033
99,0.466282,2.50542
