timestep,x_predicted_0,P_predicted_0_0,x_updated_0,innovation_0,S_0_0,P_updated_0_0
0,0,1.05,0.156311,0.230745,1.55,0.33871
1,0.156311,0.38871,-0.173773,-0.754673,0.88871,0.218693
2,-0.173773,0.268693,0.20936,1.09609,0.768693,0.174773
3,0.20936,0.224773,0.034884,-0.562592,0.724773,0.155064
4,0.034884,0.205064,0.00112473,-0.116073,0.705064,0.145422
5,0.00112473,0.195422,0.0188424,0.0630494,0.695422,0.140506
6,0.0188424,0.190506,0.272162,0.91818,0.690506,0.137947
7,0.272162,0.187947,0.261264,-0.0398916,0.687947,0.1366
8,0.261264,0.1866,-0.153569,-1.52639,0.6866,0.135887
9,-0.153569,0.185887,-0.278329,-0.460342,0.685887,0.135508
10,-0.278329,0.185508,-0.805284,-1.94725,0.685508,0.135307
11,-0.805284,0.185307,-1.01304,-0.768341,0.685307,0.1352
12,-1.01304,0.1852,-0.842246,0.631916,0.6852,0.135143
13,-0.842246,0.185143,-0.777646,0.239057,0.685143,0.135113
14,-0.777646,0.185113,-0.679026,0.365,0.685113,0.135097
15,-0.679026,0.185097,-0.761388,-0.304848,0.685097,0.135088
16,-0.761388,0.185088,-1.05594,-1.09026,0.685088,0.135083
17,-1.05594,0.185083,-1.15656,-0.372436,0.685083,0.135081
18,-1.15656,0.185081,-1.26991,-0.419557,0.685081,0.13508
19,-1.26991,0.18508,-1.40106,-0.485484,0.68508,0.135079
20,-1.40106,0.185079,-1.60301,-0.747504,0.685079,0.135079
21,-1.60301,0.185079,-2.37034,-2.84032,0.685079,0.135078
22,-2.37034,0.185078,-2.68207,-1.15387,0.685078,0.135078
23,-2.68207,0.185078,-2.83282,-0.558037,0.685078,0.135078
24,-2.83282,0.185078,-2.88087,-0.177844,0.685078,0.135078
25,-2.88087,0.185078,-2.87231,0.0316741,0.685078,0.135078
26,-2.87231,0.185078,-2.14547,2.69044,0.685078,0.135078
27,-2.14547,0.185078,-2.61694,-1.74518,0.685078,0.135078
28,-2.61694,0.185078,-2.7236,-0.394796,0.685078,0.135078
29,-2.7236,0.185078,-2.4906,0.862471,0.685078,0.135078
30,-2.4906,0.185078,-2.09215,1.47488,0.685078,0.135078
31,-2.09215,0.185078,-1.91085,0.671089,0.685078,0.135078
32,-1.91085,0.185078,-1.81178,0.366731,0.685078,0.135078
33,-1.81178,0.185078,-1.79017,0.0799568,0.685078,0.135078
34,-1.79017,0.185078,-2.09213,-1.11772,0.685078,0.135078
35,-2.09213,0.185078,-2.18844,-0.356499,0.685078,0.135078
36,-2.18844,0.185078,-1.53495,2.41896,0.685078,0.135078
37,-1.53495,0.185078,-1.50863,0.0974037,0.685078,0.135078
38,-1.50863,0.185078,-0.867599,2.37283,0.685078,0.135078
39,-0.867599,0.185078,-0.872599,-0.0185096,0.685078,0.135078
40,-0.872599,0.185078,-1.08597,-0.789807,0.685078,0.135078
41,-1.08597,0.185078,-0.926859,0.58896,0.685078,0.135078
42,-0.926859,0.185078,-1.35399,-1.58105,0.685078,0.135078
43,-1.35399,0.185078,-1.27242,0.301953,0.685078,0.135078
