timestep,x_smoothed_0,P_smoothed_0_0
0,-0.0140044,0.119682
1,-0.0391462,0.100243
2,-0.00836649,0.0898889
3,-0.0706549,0.0843735
4,-0.104686,0.0814356
5,-0.141066,0.0798706
6,-0.19797,0.079037
7,-0.368374,0.078593
8,-0.598842,0.0783565
9,-0.762681,0.0782305
10,-0.941398,0.0781634
11,-0.991696,0.0781276
12,-0.983801,0.0781086
13,-1.03617,0.0780984
14,-1.13185,0.078093
15,-1.29944,0.0780902
16,-1.49858,0.0780886
17,-1.66242,0.0780878
18,-1.84967,0.0780874
19,-2.06427,0.0780871
20,-2.30976,0.078087
21,-2.57136,0.078087
22,-2.64577,0.0780869
23,-2.63234,0.0780869
24,-2.55813,0.0780869
25,-2.43866,0.0780869
26,-2.27814,0.0780869
27,-2.32725,0.0780869
28,-2.22002,0.0780869
29,-2.03362,0.0780869
30,-1.86447,0.0780869
31,-1.7802,0.0780869
32,-1.73183,0.0780869
33,-1.70224,0.0780869
34,-1.6697,0.0780869
35,-1.51333,0.0780869
36,-1.26343,0.0780869
37,-1.16292,0.0780869
38,-1.03496,0.0780869
39,-1.09691,0.0780869
40,-1.17994,0.0780869
41,-1.21472,0.0780869
42,-1.32127,0.0780869
43,-1.30916,0.0780869
44,-1.32276,0.0780869
45,-1.35715,0.0780869
46,-1.44692,0.0780869
47,-1.52994,0.0780869
48,-1.60636,0.0780869
49,-1.69148,0.0780869
50,-1.82129,0.0780869
51,-1.88136,0.0780869
52,-1.86133,0.0780869
53,-1.87908,0.0780869
54,-1.94801,0.0780869
55,-1.98583,0.0780869
56,-1.94245,0.0780869
57,-1.77019,0.0780869
58,-1.5966,0.0780869
59,-1.477,0.0780869
60,-1.47951,0.0780869
61,-1.36066,0.0780869
62,-1.31557,0.0780869
63,-1.18648,0.0780869
64,-1.05125,0.0780869
65,-0.945216,0.0780869
66,-0.972326,0.0780869
67,-1.02442,0.0780869
68,-1.08166,0.0780869
69,-1.14978,0.0780869
70,-1.32031,0.0780869
71,-1.46974,0.0780869
72,-1.62469,0.0780869
73,-1.85378,0.0780869
74,-2.10273,0.0780869
75,-2.39877,0.0780869
76,-2.67031,0.0780869
77,-2.91109,0.0780869
78,-3.06664,0.0780869
79,-3.18516,0.0780869
80,-3.29796,0.0780869
81,-3.38218,0.0780869
82,-3.51871,0.0780869
83,-3.63346,0.0780869
84,-3.7502,0.0780869
85,-3.91746,0.0780869
86,-4.06602,0.0780869
87,-4.31427,0.0780869
88,-4.48367,0.0780869
89,-4.58781,0.0780869
90,-4.65625,0.0780869
91,-4.771,0.0780869
92,-4.90239,0.0780869
93,-5.06275,0.0780869
94,-5.05678,0.0780869
95,-5.06727,0.0780869
96,-5.04719,0.0780869
97,-4.89665,0.0780869
98,-4.73299,0.0780869
99,-4.61736,0.0780869
100,-4.56159,0.0780869
101,-4.40806,0.0780869
102,-4.45677,0.0780869
103,-4.50149,0.0780869
104,-4.58581,0.0780869
105,-4.71845,0.0780869
106,-4.83889,0.0780869
107,-4.9663,0.0780869
108,-5.07368,0.0780869
109,-5.07716,0.0780869
110,-5.10199,0.0780869
111,-5.14684,0.0780869
112,-5.15446,0.0780869
113,-5.1976,0.0780869
114,-5.26422,0.0780869
115,-5.30817,0.0780869
116,-5.35911,0.0780869
117,-5.38599,0.0780869
118,-5.3605,0.0780869
119,-5.25858,0.0780869
120,-5.2116,0.0780869
121,-5.15189,0.0780869
122,-5.09331,0.0780869
123,-5.07938,0.0780869
124,-5.13455,0.0780869
125,-5.23546,0.0780869
126,-5.43257,0.0780869
127,-5.55112,0.0780869
128,-5.68314,0.0780869
129,-5.75938,0.0780869
130,-5.78612,0.0780869
131,-5.72912,0.0780869
132,-5.63171,0.0780869
133,-5.57865,0.0780869
134,-5.54511,0.0780869
135,-5.54979,0.0780869
136,-5.55709,0.0780869
137,-5.51404,0.0780869
138,-5.41237,0.0780869
139,-5.32793,0.0780869
140,-5.13202,0.0780869
141,-4.85279,0.0780869
142,-4.64492,0.0780869
143,-4.49527,0.0780869
144,-4.29449,0.0780869
145,-4.14794,0.0780869
146,-4.00256,0.0780869
147,-3.9174,0.0780869
148,-3.89481,0.0780869
149,-3.86062,0.0780869
150,-3.70434,0.0780869
151,-3.67335,0.0780869
152,-3.67303,0.0780869
153,-3.64917,0.0780869
154,-3.63609,0.0780869
155,-3.62715,0.0780869
156,-3.55447,0.0780869
157,-3.4527,0.0780869
158,-3.29437,0.0780869
159,-3.18508,0.0780869
160,-3.14123,0.0780869
161,-3.21795,0.0780869
162,-3.41201,0.0780869
163,-3.65851,0.0780869
164,-3.80561,0.0780869
165,-3.88933,0.0780869
166,-4.02148,0.0780869
167,-4.08102,0.0780869
168,-4.11493,0.0780869
169,-4.13022,0.0780869
170,-4.23219,0.0780869
171,-4.34676,0.0780869
172,-4.36371,0.0780869
173,-4.33789,0.0780869
174,-4.31016,0.0780869
175,-4.35436,0.0780869
176,-4.40371,0.0780869
177,-4.45905,0.0780869
178,-4.46876,0.0780869
179,-4.36416,0.0780869
180,-4.31183,0.0780869
181,-4.34718,0.0780869
182,-4.2719,0.0780869
183,-4.27186,0.0780869
184,-4.24087,0.0780869
185,-4.17858,0.0780869
186,-4.06403,0.0780869
187,-3.93398,0.0780869
188,-3.89803,0.0780869
189,-3.87264,0.0780869
190,-3.79729,0.0780869
191,-3.75197,0.0780869
192,-3.71303,0.0780869
193,-3.55002,0.0780869
