timestep,x_true_0,z_0
0,0.576617,0.230745
1,0.150269,-0.598362
2,-0.0116498,0.922315
3,-0.00829289,-0.353232
4,0.22598,-0.0811892
5,0.15411,0.0641741
6,0.0114499,0.937022
7,-0.18812,0.232271
8,-0.752436,-1.26513
9,-0.848793,-0.613911
10,-1.03418,-2.22558
11,-0.866188,-1.57363
12,-0.984794,-0.381127
13,-1.06902,-0.603188
14,-1.27571,-0.412646
15,-1.16709,-0.983874
16,-1.70628,-1.85165
17,-1.90549,-1.42838
18,-2.09781,-1.57612
19,-2.70086,-1.75539
20,-2.42858,-2.14857
21,-2.44562,-4.44333
22,-2.4531,-3.52421
23,-2.86645,-3.2401
24,-2.81922,-3.01067
25,-2.53139,-2.84919
26,-2.28813,-0.18187
27,-2.09764,-3.89065
28,-1.97835,-3.01174
29,-1.72316,-1.86113
30,-1.57757,-1.01572
31,-1.87261,-1.42106
32,-1.7384,-1.54412
33,-1.94459,-1.73182
34,-1.65604,-2.9079
35,-1.12349,-2.44863
36,-1.16058,0.230519
37,-1.00569,-1.43754
38,-0.857017,0.864194
39,-1.04704,-0.886108
40,-1.28367,-1.66241
41,-1.4339,-0.497011
42,-1.65864,-2.50791
43,-1.82512,-1.05204
44,-1.66224,-1.11487
45,-1.38514,-0.803365
46,-1.73997,-1.51443
47,-1.62755,-1.59597
48,-1.44913,-1.51929
49,-1.49188,-1.24462
50,-1.6423,-2.51872
51,-1.59384,-2.6823
52,-2.00992,-1.48354
53,-2.07359,-1.36735
54,-2.04986,-2.25898
55,-2.09,-2.79788
56,-1.96951,-3.23127
57,-2.40103,-1.78357
58,-2.09572,-1.05656
59,-1.82228,-0.255984
60,-1.72065,-2.69306
61,-1.76066,-0.623045
62,-1.70181,-2.1557
63,-1.43283,-1.24774
64,-0.649735,-0.759343
65,-0.357349,0.386236
66,-0.4747,-0.722523
67,-0.656944,-0.97288
68,-0.7418,-0.972924
69,-1.07711,-0.125647
70,-1.13037,-1.53141
71,-1.54524,-1.41446
72,-1.96562,-0.883228
73,-2.05902,-1.65527
74,-2.18242,-1.63174
75,-2.67337,-2.64382
76,-2.76347,-2.97794
77,-3.06654,-3.76342
78,-3.15716,-3.43689
79,-3.09063,-3.24241
80,-3.04561,-3.58364
81,-3.32627,-2.85915
82,-3.35661,-3.7365
83,-3.37791,-3.61364
84,-3.4511,-3.24492
85,-3.85831,-4.10448
86,-3.75097,-3.06913
87,-4.06711,-5.10281
88,-4.14457,-5.13616
89,-4.5713,-4.94488
90,-4.85665,-4.19322
91,-4.96121,-4.60446
92,-4.86615,-4.61285
93,-4.74728,-6.7259
94,-4.43191,-4.89228
95,-5.0383,-5.37287
96,-4.90603,-6.35184
97,-4.97197,-5.0279
98,-4.8677,-4.25268
99,-4.70223,-4.01872
100,-4.59128,-5.53919
101,-4.68849,-2.38568
102,-4.28243,-4.49658
103,-4.23968,-4.10561
104,-4.42986,-4.10259
105,-4.5908,-4.84032
106,-4.9364,-4.76932
107,-4.95082,-5.16658
108,-5.23592,-6.11271
109,-5.00915,-4.86358
110,-5.18731,-4.90184
111,-5.15962,-5.51914
112,-5.15321,-4.79919
113,-5.03459,-4.96291
114,-5.01841,-5.49085
115,-4.92377,-5.2383
116,-4.91061,-5.5997
117,-5.0772,-5.90966
118,-5.01509,-6.12475
119,-4.60103,-4.70934
120,-4.60931,-5.33873
121,-4.7333,-5.1407
122,-4.83421,-4.64678
123,-4.88466,-4.38845
124,-5.22118,-4.67712
125,-5.56954,-4.27338
126,-5.50622,-6.21824
127,-5.55925,-5.4164
128,-5.63418,-6.24102
129,-5.55051,-6.25423
130,-5.83206,-6.62362
131,-5.75614,-6.13326
132,-5.82679,-5.18815
133,-5.9111,-5.38342
134,-5.69031,-5.16285
135,-5.83321,-5.52375
136,-6.05702,-6.06047
137,-5.79831,-6.1003
138,-5.76789,-5.24005
139,-5.69836,-6.44258
140,-5.34435,-5.96524
141,-5.434,-4.1392
142,-5.0605,-4.06281
143,-5.13462,-5.00648
144,-4.50294,-3.75216
145,-4.52148,-4.1363
146,-4.53065,-3.40036
147,-4.33247,-3.29175
148,-3.93276,-4.01069
149,-3.78685,-5.08156
150,-3.36852,-2.45147
151,-3.38014,-3.36669
152,-3.59827,-3.90837
153,-3.69826,-3.54143
154,-3.61926,-3.59458
155,-3.30674,-4.26467
156,-3.49697,-3.84529
157,-3.47093,-4.01829
158,-3.06053,-2.80403
159,-3.13569,-2.53063
160,-2.90735,-1.93562
161,-3.27078,-2.04454
162,-3.38058,-2.8875
163,-3.84401,-4.65262
164,-3.86561,-4.43933
165,-3.95598,-3.40514
166,-3.85108,-4.74747
167,-3.6217,-4.3373
168,-4.01812,-4.30119
169,-3.61118,-3.2635
170,-3.80757,-4.10611
171,-4.08113,-5.32288
