timestep,x_predicted_0,x_predicted_1,P_predicted_0_0,P_predicted_0_1,P_predicted_1_0,P_predicted_1_1,x_updated_0,x_updated_1,innovation_0,innovation_1,S_0_0,S_0_1,S_1_0,S_1_1,P_updated_0_0,P_updated_0_1,P_updated_1_0,P_updated_1_1
0,0,0,1.05,0,0,1.05,0.0677572,1.08975,0.100023,1.60867,1.55,0,0,1.55,0.33871,0,0,0.33871
1,0.0677572,1.08975,0.38871,0,0,0.38871,0.0167174,1.35288,-0.116693,0.601597,0.88871,0,0,0.88871,0.218693,0,0,0.218693
2,0.0167174,1.35288,0.268693,0,0,0.268693,0.322277,1.64855,0.874162,0.84589,0.768693,0,0,0.768693,0.174773,0,0,0.174773
3,0.322277,1.64855,0.224773,0,0,0.224773,0.116504,1.9771,-0.663508,1.0594,0.724773,0,0,0.724773,0.155064,0,0,0.155064
4,0.116504,1.9771,0.205064,0,0,0.205064,0.388387,1.93231,0.934804,-0.154025,0.705064,0,0,0.705064,0.145422,0,0,0.145422
5,0.388387,1.93231,0.195422,0,0,0.195422,0.230374,2.12132,-0.562301,0.672602,0.695422,0,0,0.695422,0.140506,0,0,0.140506
6,0.230374,2.12132,0.190506,0,0,0.190506,0.203489,1.82008,-0.0974455,-1.09186,0.690506,0,0,0.690506,0.137947,0,0,0.137947
7,0.203489,1.82008,0.187947,0,0,0.187947,0.206573,1.66973,0.0112881,-0.550314,0.687947,0,0,0.687947,0.1366,0,0,0.1366
8,0.206573,1.66973,0.1866,0,0,0.1866,-0.0615815,1.64676,-0.986682,-0.0845262,0.6866,0,0,0.6866,0.135887,0,0,0.135887
9,-0.0615815,1.64676,0.185887,0,0,0.185887,-0.17924,1.50109,-0.434139,-0.5375,0.685887,0,0,0.685887,0.135508,0,0,0.135508
10,-0.17924,1.50109,0.185508,0,0,0.185508,-0.525524,1.8645,-1.27962,1.34291,0.685508,0,0,0.685508,0.135307,0,0,0.135307
11,-0.525524,1.8645,0.185307,0,0,0.185307,-0.623551,1.93849,-0.362527,0.273617,0.685307,0,0,0.685307,0.1352,0,0,0.1352
12,-0.623551,1.93849,0.1852,0,0,0.1852,-0.591486,2.18348,0.118636,0.906422,0.6852,0,0,0.6852,0.135143,0,0,0.135143
13,-0.591486,2.18348,0.185143,0,0,0.185143,-0.962469,2.63864,-1.37287,1.68436,0.685143,0,0,0.685143,0.135113,0,0,0.135113
14,-0.962469,2.63864,0.185113,0,0,0.185113,-1.28514,2.96704,-1.19421,1.21544,0.685113,0,0,0.685113,0.135097,0,0,0.135097
15,-1.28514,2.96704,0.185097,0,0,0.185097,-0.997362,2.8661,1.06514,-0.373612,0.685097,0,0,0.685097,0.135088,0,0,0.135088
16,-0.997362,2.8661,0.185088,0,0,0.185088,-1.47822,3.09194,-1.77987,0.835917,0.685088,0,0,0.685088,0.135083,0,0,0.135083
17,-1.47822,3.09194,0.185083,0,0,0.185083,-1.77287,3.30515,-1.09065,0.789194,0.685083,0,0,0.685083,0.135081,0,0,0.135081
18,-1.77287,3.30515,0.185081,0,0,0.185081,-1.43748,3.53662,1.24146,0.856795,0.685081,0,0,0.685081,0.13508,0,0,0.13508
19,-1.43748,3.53662,0.18508,0,0,0.18508,-1.67684,3.7714,-0.885999,0.869044,0.68508,0,0,0.68508,0.135079,0,0,0.135079
20,-1.67684,3.7714,0.185079,0,0,0.185079,-1.73159,3.79576,-0.202637,0.0901766,0.685079,0,0,0.685079,0.135079,0,0,0.135079
21,-1.73159,3.79576,0.185079,0,0,0.185079,-1.75473,4.14494,-0.0856712,1.2925,0.685079,0,0,0.685079,0.135078,0,0,0.135078
22,-1.75473,4.14494,0.185078,0,0,0.185078,-2.41809,4.36185,-2.45545,0.802905,0.685078,0,0,0.685078,0.135078,0,0,0.135078
23,-2.41809,4.36185,0.185078,0,0,0.185078,-2.73524,4.847,-1.17397,1.79582,0.685078,0,0,0.685078,0.135078,0,0,0.135078
24,-2.73524,4.847,0.185078,0,0,0.185078,-2.98434,4.666,-0.922058,-0.669953,0.685078,0,0,0.685078,0.135078,0,0,0.135078
25,-2.98434,4.666,0.185078,0,0,0.185078,-2.86917,4.62917,0.426329,-0.136362,0.685078,0,0,0.685078,0.135078,0,0,0.135078
26,-2.86917,4.62917,0.185078,0,0,0.185078,-2.61056,4.43155,0.95726,-0.731472,0.685078,0,0,0.685078,0.135078,0,0,0.135078
27,-2.61056,4.43155,0.185078,0,0,0.185078,-2.29426,4.18316,1.17079,-0.919438,0.685078,0,0,0.685078,0.135078,0,0,0.135078
28,-2.29426,4.18316,0.185078,0,0,0.185078,-2.24876,4.04688,0.168412,-0.504475,0.685078,0,0,0.685078,0.135078,0,0,0.135078
29,-2.24876,4.04688,0.185078,0,0,0.185078,-2.13472,3.90069,0.422126,-0.541106,0.685078,0,0,0.685078,0.135078,0,0,0.135078
30,-2.13472,3.90069,0.185078,0,0,0.185078,-2.13735,4.08162,-0.00971818,0.669728,0.685078,0,0,0.685078,0.135078,0,0,0.135078
31,-2.13735,4.08162,0.185078,0,0,0.185078,-1.81717,4.12595,1.18518,0.164085,0.685078,0,0,0.685078,0.135078,0,0,0.135078
32,-1.81717,4.12595,0.185078,0,0,0.185078,-1.89831,4.33016,-0.300363,0.755888,0.685078,0,0,0.685078,0.135078,0,0,0.135078
33,-1.89831,4.33016,0.185078,0,0,0.185078,-1.96689,4.29054,-0.253829,-0.146639,0.685078,0,0,0.685078,0.135078,0,0,0.135078
34,-1.96689,4.29054,0.185078,0,0,0.185078,-1.7729,4.40874,0.718043,0.43751,0.685078,0,0,0.685078,0.135078,0,0,0.135078
35,-1.7729,4.40874,0.185078,0,0,0.185078,-1.55911,4.57205,0.79137,0.604501,0.685078,0,0,0.685078,0.135078,0,0,0.135078
36,-1.55911,4.57205,0.185078,0,0,0.185078,-1.32994,4.90509,0.8483,1.23276,0.685078,0,0,0.685078,0.135078,0,0,0.135078
37,-1.32994,4.90509,0.185078,0,0,0.185078,-1.34837,4.80923,-0.0682283,-0.354838,0.685078,0,0,0.685078,0.135078,0,0,0.135078
38,-1.34837,4.80923,0.185078,0,0,0.185078,-0.955001,4.79705,1.45607,-0.0450779,0.685078,0,0,0.685078,0.135078,0,0,0.135078
39,-0.955001,4.79705,0.185078,0,0,0.185078,-0.872856,5.05833,0.304065,0.967168,0.685078,0,0,0.685078,0.135078,0,0,0.135078
40,-0.872856,5.05833,0.185078,0,0,0.185078,-0.934797,5.47875,-0.229279,1.55618,0.685078,0,0,0.685078,0.135078,0,0,0.135078
41,-0.934797,5.47875,0.185078,0,0,0.185078,-1.04891,5.30142,-0.422412,-0.656391,0.685078,0,0,0.685078,0.135078,0,0,0.135078
42,-1.04891,5.30142,0.185078,0,0,0.185078,-1.17823,5.72905,-0.478656,1.58291,0.685078,0,0,0.685078,0.135078,0,0,0.135078
43,-1.17823,5.72905,0.185078,0,0,0.185078,-1.27775,5.82651,-0.368393,0.360767,0.685078,0,0,0.685078,0.135078,0,0,0.135078
44,-1.27775,5.82651,0.185078,0,0,0.185078,-0.98627,5.73829,1.07893,-0.326556,0.685078,0,0,0.685078,0.135078,0,0,0.135078
45,-0.98627,5.73829,0.185078,0,0,0.185078,-1.42759,5.61212,-1.63356,-0.467027,0.685078,0,0,0.685078,0.135078,0,0,0.135078
46,-1.42759,5.61212,0.185078,0,0,0.185078,-1.59469,5.8149,-0.618556,0.750598,0.685078,0,0,0.685078,0.135078,0,0,0.135078
47,-1.59469,5.8149,0.185078,0,0,0.185078,-1.58589,5.57603,0.0325774,-0.884189,0.685078,0,0,0.685078,0.135078,0,0,0.135078
48,-1.58589,5.57603,0.185078,0,0,0.185078,-1.07675,5.43512,1.88464,-0.521606,0.685078,0,0,0.685078,0.135078,0,0,0.135078
49,-1.07675,5.43512,0.185078,0,0,0.185078,-1.26639,5.22873,-0.701998,-0.763966,0.685078,0,0,0.685078,0.135078,0,0,0.135078
50,-1.26639,5.22873,0.185078,0,0,0.185078,-1.26165,5.3188,0.0175601,0.333419,0.685078,0,0,0.685078,0.135078,0,0,0.135078
51,-1.26165,5.3188,0.185078,0,0,0.185078,-1.60042,5.25342,-1.25396,-0.241995,0.685078,0,0,0.685078,0.135078,0,0,0.135078
52,-1.60042,5.25342,0.185078,0,0,0.185078,-2.14356,5.51506,-2.01047,0.968457,0.685078,0,0,0.685078,0.135078,0,0,0.135078
53,-2.14356,5.51506,0.185078,0,0,0.185078,-2.36971,5.3432,-0.837105,-0.636153,0.685078,0,0,0.685078,0.135078,0,0,0.135078
54,-2.36971,5.3432,0.185078,0,0,0.185078,-2.38898,5.52975,-0.0713517,0.690548,0.685078,0,0,0.685078,0.135078,0,0,0.135078
55,-2.38898,5.52975,0.185078,0,0,0.185078,-2.55198,5.76306,-0.603357,0.863594,0.685078,0,0,0.685078,0.135078,0,0,0.135078
