timestep,x_smoothed_0,x_smoothed_1,P_smoothed_0_0,P_smoothed_0_1,P_smoothed_1_0,P_smoothed_1_1
0,0.0963144,1.69937,0.119682,0,0,0.119682
1,0.10053,1.78936,0.100243,0,0,0.100243
2,0.119692,1.88915,0.0898889,0,0,0.0898889
3,0.0617356,1.95798,0.0843735,0,0,0.0843735
4,0.0440756,1.95182,0.0814356,0,0,0.0814356
5,-0.0743076,1.95852,0.0798706,0,0,0.0798706
6,-0.18273,1.90059,0.079037,0,0,0.079037
7,-0.322719,1.92977,0.078593,0,0,0.078593
8,-0.516457,2.02496,0.0783565,0,0,0.0783565
9,-0.68383,2.16412,0.0782305,0,0,0.0782305
10,-0.870013,2.40876,0.0781634,0,0,0.0781634
11,-0.997312,2.60988,0.0781276,0,0,0.0781276
12,-1.13554,2.85818,0.0781086,0,0,0.0781086
13,-1.33683,3.10781,0.0780984,0,0,0.0780984
14,-1.47536,3.28143,0.078093,0,0,0.078093
15,-1.54576,3.39779,0.0780902,0,0,0.0780902
16,-1.74874,3.59458,0.0780886,0,0,0.0780886
17,-1.84887,3.78063,0.0780878,0,0,0.0780878
18,-1.877,3.95663,0.0780874,0,0,0.0780874
19,-2.03969,4.1121,0.0780871,0,0,0.0780871
20,-2.174,4.23821,0.078087,0,0,0.078087
21,-2.33776,4.40198,0.078087,0,0,0.078087
22,-2.55357,4.49713,0.0780869,0,0,0.0780869
23,-2.60372,4.54721,0.0780869,0,0,0.0780869
24,-2.55504,4.43624,0.0780869,0,0,0.0780869
25,-2.39613,4.35119,0.0780869,0,0,0.0780869
26,-2.22103,4.24829,0.0780869,0,0,0.0780869
27,-2.07685,4.18045,0.0780869,0,0,0.0780869
28,-1.99637,4.17945,0.0780869,0,0,0.0780869
29,-1.90295,4.22852,0.0780869,0,0,0.0780869
30,-1.81716,4.34987,0.0780869,0,0,0.0780869
31,-1.69863,4.44916,0.0780869,0,0,0.0780869
32,-1.65476,4.5688,0.0780869,0,0,0.0780869
33,-1.5646,4.65713,0.0780869,0,0,0.0780869
34,-1.4157,4.79283,0.0780869,0,0,0.0780869
35,-1.28348,4.935,0.0780869,0,0,0.0780869
36,-1.18145,5.06935,0.0780869,0,0,0.0780869
37,-1.12649,5.13016,0.0780869,0,0,0.0780869
38,-1.04436,5.24895,0.0780869,0,0,0.0780869
39,-1.07743,5.41623,0.0780869,0,0,0.0780869
40,-1.15316,5.5487,0.0780869,0,0,0.0780869
41,-1.23398,5.57459,0.0780869,0,0,0.0780869
42,-1.30249,5.67571,0.0780869,0,0,0.0780869
43,-1.34848,5.65597,0.0780869,0,0,0.0780869
44,-1.37466,5.59284,0.0780869,0,0,0.0780869
45,-1.51843,5.539,0.0780869,0,0,0.0780869
46,-1.55206,5.51194,0.0780869,0,0,0.0780869
47,-1.53627,5.39979,0.0780869,0,0,0.0780869
48,-1.51791,5.33456,0.0780869,0,0,0.0780869
49,-1.68121,5.29733,0.0780869,0,0,0.0780869
50,-1.83475,5.32273,0.0780869,0,0,0.0780869
51,-2.04689,5.32418,0.0780869,0,0,0.0780869
52,-2.21215,5.35037,0.0780869,0,0,0.0780869
53,-2.23754,5.28941,0.0780869,0,0,0.0780869
54,-2.18862,5.2695,0.0780869,0,0,0.0780869
55,-2.11446,5.17316,0.0780869,0,0,0.0780869
56,-1.95251,4.95481,0.0780869,0,0,0.0780869
57,-1.88224,4.80891,0.0780869,0,0,0.0780869
58,-1.80364,4.59561,0.0780869,0,0,0.0780869
59,-1.69622,4.38815,0.0780869,0,0,0.0780869
60,-1.51377,4.21167,0.0780869,0,0,0.0780869
61,-1.37903,4.15019,0.0780869,0,0,0.0780869
62,-1.2523,3.99642,0.0780869,0,0,0.0780869
63,-1.15519,3.87281,0.0780869,0,0,0.0780869
64,-1.07108,3.81064,0.0780869,0,0,0.0780869
65,-1.04632,3.67311,0.0780869,0,0,0.0780869
66,-1.04175,3.56033,0.0780869,0,0,0.0780869
67,-1.17778,3.49767,0.0780869,0,0,0.0780869
68,-1.18998,3.46009,0.0780869,0,0,0.0780869
69,-1.25587,3.34088,0.0780869,0,0,0.0780869
70,-1.35388,3.32082,0.0780869,0,0,0.0780869
71,-1.62559,3.25924,0.0780869,0,0,0.0780869
72,-1.82207,3.18195,0.0780869,0,0,0.0780869
73,-2.12819,3.18012,0.0780869,0,0,0.0780869
74,-2.4047,3.20646,0.0780869,0,0,0.0780869
75,-2.72114,3.35473,0.0780869,0,0,0.0780869
76,-2.99455,3.4551,0.0780869,0,0,0.0780869
77,-3.19685,3.53369,0.0780869,0,0,0.0780869
78,-3.37455,3.70059,0.0780869,0,0,0.0780869
79,-3.48299,3.83734,0.0780869,0,0,0.0780869
80,-3.58805,3.90268,0.0780869,0,0,0.0780869
81,-3.68112,3.94486,0.0780869,0,0,0.0780869
82,-3.6971,4.03039,0.0780869,0,0,0.0780869
83,-3.71435,4.13527,0.0780869,0,0,0.0780869
84,-3.76539,4.17824,0.0780869,0,0,0.0780869
85,-3.8579,4.22199,0.0780869,0,0,0.0780869
86,-4.0255,4.19947,0.0780869,0,0,0.0780869
87,-4.13982,4.15843,0.0780869,0,0,0.0780869
