timestep,x_true_0,x_true_1,z_0,z_1
0,0.576617,1.38281,0.100023,1.60867
1,0.150269,1.63293,-0.0489355,1.69134
2,-0.0116498,1.29925,0.89088,2.19877
3,-0.00829289,1.2302,-0.341231,2.70795
4,0.22598,1.54624,1.05131,1.82308
5,0.15411,1.90249,-0.173914,2.60491
6,0.0114499,2.00322,0.132928,1.02945
7,-0.18812,1.96592,0.214777,1.26976
8,-0.752436,2.28227,-0.78011,1.58521
9,-0.848793,2.35196,-0.49572,1.10926
10,-1.03418,2.60985,-1.45886,2.844
11,-0.866188,2.74839,-0.888051,2.13812
12,-0.984794,3.09261,-0.504915,2.84491
13,-1.06902,3.50766,-1.96435,3.86784
14,-1.27571,4.193,-2.15668,3.85408
15,-1.16709,3.90082,-0.219997,2.59343
16,-1.70628,3.86865,-2.77723,3.70202
17,-1.90549,4.26485,-2.56887,3.88113
18,-2.09781,4.23401,-0.531415,4.16194
19,-2.70086,3.99423,-2.32348,4.40566
20,-2.42858,4.41624,-1.87948,3.86157
21,-2.44562,4.66973,-1.81726,5.08826
22,-2.4531,4.96434,-4.21018,4.94784
23,-2.86645,4.84381,-3.59206,6.15766
24,-2.81922,4.42328,-3.6573,4.17704
25,-2.53139,4.27584,-2.55801,4.52964
26,-2.28813,4.02152,-1.91191,3.89769
27,-2.09764,4.31108,-1.43977,3.51212
28,-1.97835,4.44247,-2.12585,3.67869
29,-1.72316,4.57455,-1.82664,3.50577
30,-1.57757,4.54206,-2.14444,4.57042
31,-1.87261,4.31809,-0.952174,4.24571
32,-1.7384,4.65852,-2.11753,4.88184
33,-1.94459,4.57443,-2.15214,4.18352
34,-1.65604,4.96238,-1.24884,4.72805
35,-1.12349,5.06431,-0.981532,5.01324
36,-1.16058,4.94143,-0.710809,5.80481
37,-1.00569,5.26761,-1.39816,4.55025
38,-0.857017,5.23168,0.107703,4.76415
39,-1.04704,5.40112,-0.650936,5.76422
40,-1.28367,5.41944,-1.10213,6.61452
41,-1.4339,5.58228,-1.35721,4.82235
42,-1.65864,5.56604,-1.52757,6.88432
43,-1.82512,5.65198,-1.54662,6.08982
44,-1.66224,5.99422,-0.19882,5.49996
45,-1.38514,5.84581,-2.61983,5.27126
46,-1.73997,5.54382,-2.04614,6.36272
47,-1.62755,5.68482,-1.56212,4.93071
48,-1.44913,5.75869,0.298745,5.05443
49,-1.49188,5.65289,-1.77874,4.67115
50,-1.6423,5.28034,-1.24883,5.56214
51,-1.59384,5.23357,-2.51561,5.07681
52,-2.00992,5.20544,-3.61089,6.22188
53,-2.07359,5.49009,-2.98066,4.87891
54,-2.04986,5.50727,-2.44106,6.03375
55,-2.09,5.53012,-2.99234,6.39335
56,-1.96951,5.25808,-1.03568,4.23026
57,-2.40103,5.11046,-1.96553,5.483
58,-2.09572,4.8965,-2.0918,4.53709
59,-1.82228,4.71442,-2.44655,4.07845
60,-1.72065,4.48981,-1.03669,3.06157
61,-1.76066,4.32146,-1.29886,5.07316
62,-1.70181,3.82398,-0.956178,3.69479
63,-1.43283,4.03209,-1.02517,3.25839
64,-0.649735,4.09275,-0.47767,4.56426
65,-0.357349,3.98982,-0.84434,3.42555
